ProfileID,Topic,Text
P0119,Adhesion / release,PVA glue or MAGIGOO PC
P0119,Cooling,OFF
P0119,Speed,30-50 (mm/s)
P0119,Overhang,angle 45 (˚)
P0120,Cooling,"0 - 25% UL-94 V0 flammability standards, which means it is"
P0120,Speed,** 40 - 300 mm/s FEAUTURES
P0121,Adhesion / release,PVA glue or MAGIGOO PC
P0121,Cooling,OFF
P0121,Speed,30-50 (mm/s)
P0121,Overhang,angle 45 (˚)
P0124,Cooling,0-50%
P0124,Speed,30-50 mm/s
P0128,Cooling,OFF
P0128,Speed,30-40 mm/s
P0132,Cooling,OFF
P0132,Speed,30-50 mm/s
P0133,Detail / tolerance,No special concerns
P0134,Detail / tolerance,No special concerns
P0135,Detail / tolerance,0.25mm or higher
P0136,Detail / tolerance,No special concerns
P0137,Detail / tolerance,0.25mm or higher
P0138,Detail / tolerance,No special concerns
P0139,Detail / tolerance,No special concerns
P0140,Detail / tolerance,0.25mm or higher
P0141,Detail / tolerance,0.25mm or higher
P0142,Detail / tolerance,No special concerns
P0143,Detail / tolerance,No special concerns
P0144,Detail / tolerance,0.25mm or higher
P0145,Detail / tolerance,No special concerns
P0146,Detail / tolerance,No special concerns
P0147,Detail / tolerance,0.25mm or higher
P0148,Detail / tolerance,No special concerns
P0149,Detail / tolerance,No special concerns
P0150,Detail / tolerance,No special concerns
P0151,Detail / tolerance,No special concerns
P0152,Detail / tolerance,No special concerns
P0153,Detail / tolerance,No special concerns
P0154,Detail / tolerance,No special concerns
P0155,Detail / tolerance,No special concerns
P0156,Detail / tolerance,No special concerns
P0157,Adhesion / release,Bambu Liquid Glue / Glue Stick
P0157,Cooling,Turn on
P0157,Speed,< 200 mm/s
P0157,Storage humidity,"<20% RH, sealed with desiccant"
P0157,Bridging,Maximum bridge length 30 mm
P0157,Overhang,Maximum overhang angle 55°
P0157,Surface finish,Smooth support interface claimed
P0157,Odour / emissions,Odorless in normal use; light pungent combustion odor
P0158,Adhesion / release,PC adhesive
P0158,Speed,30-60 mm/s
P0158,Storage humidity,Keep dry; sealed storage at 15-25 °C
P0158,Warping / shrinkage,Good dimensional stability is a manufacturer claim
P0158,Odour / emissions,Process in a well-ventilated room or use professional extraction
P0159,Speed,44 mm/s
P0159,Surface finish,Soft-touch claim
P0159,Layer adhesion,Good layer adhesion claim
P0160,Adhesion / release,Magigoo HT or VM Nano
P0160,Cooling,0-20%
P0160,Speed,25-75 mm/s; first layer 20 mm/s
P0160,Storage humidity,Vacuum-sealed / dry storage
P0161,Cooling,100%
P0161,Speed,<200 mm/s (high-speed parameter)
P0162,Speed,Up to 250 mm/s
P0163,Speed,Up to 400 mm/s
P0164,Cooling,Off
P0164,Speed,Up to 250 mm/s
P0164,Storage humidity,Below 20% RH
P0165,Adhesion / release,"Magigoo, 3DLac, PVA glue"
P0165,Cooling,0-15%
P0165,Speed,40-60 mm/s
P0165,Storage humidity,Airtight bag with desiccant
P0166,Adhesion / release,"Magigoo, 3DLac, PVA glue"
P0166,Cooling,0-15%
P0166,Speed,30-50 mm/s
P0166,Storage humidity,Airtight bag with desiccant
P0167,Cooling,0-80%
P0167,Speed,40-70 mm/s
P0168,Speed,30-150 mm/s
P0169,Cooling,10-40%
P0169,Speed,Up to 300 mm/s
P0169,Storage humidity,≤ 20% RH
P0171,Speed,10-30 mm/s
P0170,Cooling,0-20%
P0170,Speed,40-250 mm/s
P0173,Cooling,YES (up to 100%)
P0173,Layer height,0.05 - 0.30 mm
P0173,Shell / walls,0.40 – 2.70 mm
P0173,Speed,40-120 mm/s
P0174,Adhesion / release,"not necessary (if you need increased adhesion or prevent warping: glue stick, Di"
P0174,Cooling,0-20%
P0175,Cooling,0 - 35%
P0175,Layer height,0.05 - 0.30 mm
P0175,Shell / walls,0.40 - 2.70 mm
P0175,Speed,30-80 mm/s
P0175,Adhesion / release,required
P0176,Cooling,YES (up to 100%)
P0176,Layer height,0.05 - 0.30 mm
P0176,Shell / walls,0.40 – 2.70 mm
P0176,Speed,30-70 mm/s
P0177,Cooling,YES (up to 100%)
P0177,Layer height,0.05 - 0.30 mm
P0177,Shell / walls,0.40 – 2.4 mm
P0177,Speed,40-130 mm/s
