Name,Property,Min,Max
Titanium alloys,tensileStrength,300,1630
Titanium alloys,compressiveStrength,130,1400
Titanium alloys,elongation,1,40
Titanium alloys,fractureToughness,14,120
Titanium alloys,thermalExpansion,7.9,11
Tungsten alloys,density,1780,1960
Tungsten alloys,tensileModulus,310,380
Tungsten alloys,yieldStrength,525,800
Tungsten alloys,tensileStrength,720,3000
Tungsten alloys,compressiveStrength,555,800
Tungsten alloys,elongation,1,17
Tungsten alloys,fractureToughness,50,60
Tungsten alloys,thermalExpansion,4,5.6
Zinc alloys,density,4950,7000
Zinc alloys,tensileModulus,68,95
Zinc alloys,yieldStrength,80,320
Zinc alloys,tensileStrength,135,350
Zinc alloys,compressiveStrength,80,450
Zinc alloys,elongation,1,30
Zinc alloys,fractureToughness,20,40
Zinc alloys,thermalExpansion,23,28
Butyl rubber,density,900,920
Butyl rubber,tensileModulus,0.001,0.002
Butyl rubber,yieldStrength,2,3
Butyl rubber,tensileStrength,5,10
Butyl rubber,compressiveStrength,2.2,3.3
Butyl rubber,elongation,400,500
Butyl rubber,fractureToughness,0.07,0.1
Butyl rubber,thermalExpansion,120,300
Ethylene propylene terpolymer (EPDM),density,860,870
Ethylene propylene terpolymer (EPDM),tensileModulus,0.0007,0.021
Ethylene propylene terpolymer (EPDM),yieldStrength,3.4,24
Ethylene propylene terpolymer (EPDM),tensileStrength,3.4,24
Ethylene propylene terpolymer (EPDM),compressiveStrength,4.08,28.8
Ethylene propylene terpolymer (EPDM),elongation,100,700
Ethylene propylene terpolymer (EPDM),fractureToughness,0.1,0.3
Ethylene propylene terpolymer (EPDM),thermalExpansion,550,590
Ethylene vinyl acetate (EVA),density,945,955
Ethylene vinyl acetate (EVA),tensileModulus,0.1,0.4
Ethylene vinyl acetate (EVA),yieldStrength,12,18
Ethylene vinyl acetate (EVA),tensileStrength,16,20
Ethylene vinyl acetate (EVA),compressiveStrength,13.2,19.8
Ethylene vinyl acetate (EVA),elongation,730,770
Ethylene vinyl acetate (EVA),fractureToughness,0.5,0.7
Ethylene vinyl acetate (EVA),thermalExpansion,160,190
Isoprene (IR),density,930,940
Isoprene (IR),tensileModulus,0.0014,0.004
Isoprene (IR),yieldStrength,20,25
Isoprene (IR),tensileStrength,20,25
Isoprene (IR),compressiveStrength,23,25
Isoprene (IR),elongation,500,550
Isoprene (IR),fractureToughness,0.07,0.1
Isoprene (IR),thermalExpansion,150,450
Natural rubber (NR),density,920,930
Natural rubber (NR),tensileModulus,0.0015,0.0025
Natural rubber (NR),yieldStrength,20,30
Natural rubber (NR),tensileStrength,22,32
Natural rubber (NR),compressiveStrength,22,33
Natural rubber (NR),elongation,500,800
Natural rubber (NR),fractureToughness,0.15,0.25
Natural rubber (NR),thermalExpansion,150,450
"Polychloroprene (neoprene, CR)",density,1230,1250
"Polychloroprene (neoprene, CR)",tensileModulus,0.0007,0.002
"Polychloroprene (neoprene, CR)",yieldStrength,3.4,24
"Polychloroprene (neoprene, CR)",tensileStrength,3.4,24
"Polychloroprene (neoprene, CR)",compressiveStrength,3.72,28.8
"Polychloroprene (neoprene, CR)",elongation,100,800
"Polychloroprene (neoprene, CR)",fractureToughness,0.1,0.3
"Polychloroprene (neoprene, CR)",thermalExpansion,575,610
Polyurethane (eIPU),density,1020,1250
Polyurethane (eIPU),tensileModulus,0.002,0.3
Polyurethane (eIPU),yieldStrength,25,51
Polyurethane (eIPU),tensileStrength,25,51
Polyurethane (eIPU),compressiveStrength,50,100
Polyurethane (eIPU),elongation,380,720
Polyurethane (eIPU),fractureToughness,0.2,0.4
Polyurethane (eIPU),thermalExpansion,150,165
Silicone elastomers,density,1300,1800
Silicone elastomers,tensileModulus,0.005,0.02
Silicone elastomers,yieldStrength,2.4,5.5
Silicone elastomers,tensileStrength,2.4,5.5
Silicone elastomers,compressiveStrength,10,30
Silicone elastomers,elongation,80,300
Silicone elastomers,fractureToughness,0.05,0.3
Silicone elastomers,thermalExpansion,250,300
Acrylonitrile butadiene styrene (ABS),density,1010,1210
Acrylonitrile butadiene styrene (ABS),tensileModulus,1.1,2.9
Acrylonitrile butadiene styrene (ABS),yieldStrength,18.5,51
Acrylonitrile butadiene styrene (ABS),tensileStrength,27.6,55.2
Acrylonitrile butadiene styrene (ABS),compressiveStrength,31,86.2
Acrylonitrile butadiene styrene (ABS),elongation,4,22
Acrylonitrile butadiene styrene (ABS),fractureToughness,1.19,4.29
Acrylonitrile butadiene styrene (ABS),thermalExpansion,84.6,234
Cellulose polymers (CA),density,980,1300
Cellulose polymers (CA),tensileModulus,1.6,2
Cellulose polymers (CA),yieldStrength,25,45
Cellulose polymers (CA),tensileStrength,25,50
Cellulose polymers (CA),compressiveStrength,27.5,49.5
Cellulose polymers (CA),elongation,5,50
Cellulose polymers (CA),fractureToughness,1,2.5
Cellulose polymers (CA),thermalExpansion,150,300
Ethylene tetrafluoroethylene (ETFE),density,1680,1720
Ethylene tetrafluoroethylene (ETFE),tensileModulus,0.81,1.5
Ethylene tetrafluoroethylene (ETFE),yieldStrength,34.2,37.7
