SourceID,Page,Value,Uncertainty,Unit,Line
R-FILLAMENTUM-CPE-HG100-TDS,1,85,,°C,"tolerance +/ - 0,05 mm , which is strictly Hot pad 70 – 85 °C"
R-FILLAMENTUM-CPE-HG100-TDS,1,60,,°C,"Conditions to re - dry 60 °C, 3 – 4 hours"
R-COLORFABB-NGEN-TDS-V2,1,93.3,,kJ/m,"Impact S trength Cha rp y Notc h ,  §  93.3 kJ/m"
R-ERYONE-PETG-GF-TDS,1,220,,°C,"Melt Index(g/10 min) 220 ° C, 10 kg 240 ° C, 2.16 kg g/10min"
R-ERYONE-PETG-GF-TDS,1,240,,°C,"Melt Index(g/10 min) 220 ° C, 10 kg 240 ° C, 2.16 kg g/10min"
R-IPCON-ASA-GF-TDS,1,0.5,,%,Net Filament Weight 0.75 kg ± 0.5%
R-IPCON-ASA-GF-TDS,1,150,,°C,Spool Material Cardboard (max heat resistance: 150 ° C )
R-IPCON-ASA-GF-TDS,1,0.13,,%,Shrinkage Rate* Specially-defined 0.13% - 0.37%
R-IPCON-ASA-GF-TDS,1,0.37,,%,Shrinkage Rate* Specially-defined 0.13% - 0.37%
R-IPCON-ASA-GF-TDS,2,15,,%,"lengths of 100.00 and 150.00 mm respectively) are as following: wall loop — 2 and 6, infill density — 15% and 25%, infill"
R-IPCON-ASA-GF-TDS,2,35,,℃,"≤ 35 ℃ , ≤ 20 % RH"
R-FLASHFORGE-ASA-GF10-TDS,2,110,,℃,Build Platform Temperature 100 ~ 120 ℃ (110 ℃ recommended )
R-GRUPA-AZOTY-TARFUSE-POM-TDS,2,275,,°C,Melt volume - flow rate MVR 275°C/5 kg
R-GRUPA-AZOTY-TARFUSE-POM-TDS,2,8,,MPa," C - 75 - 1, - 21,8 MP a"
R-GRUPA-AZOTY-TARFUSE-POM-TDS,2,230,,°C,Nozzle temperature 230°C
R-STRATASYS-FDM-NYLON12-MDS,4,10,,°C,(-50 °C to 10 °C) 46.86 μin/[in*°F] 47.53 μin/[in*°F]
R-STRATASYS-FDM-NYLON12-MDS,4,10,,°C,(10 °C to 45 °C) 49.51 μin/[in*°F]
R-STRATASYS-FDM-NYLON12-MDS,4,45,,°C,(10 °C to 45 °C) 49.51 μin/[in*°F]
R-STRATASYS-FDM-NYLON12-MDS,4,45,,°C,(45 °C to 70 °C) 55.83 μin/[in*°F]
R-STRATASYS-FDM-NYLON12-MDS,4,70,,°C,(45 °C to 70 °C) 55.83 μin/[in*°F]
