check,level,severity,materialId,material,gradeId,measurementIds,property,value,expected,sourceId,locator,detail
A14-direction-in-locator-not-coded,measurement,high,M074,PPS-GF,G074-01,V001380,Tensile strength (endpoint unspecified),42 MPa; direction coded unknown,direction Z,S-PPSGF-TDS-0,p. 1: Tensile Strength Z,"locator ""p. 1: Tensile Strength Z"" names the Z direction"
A14-direction-in-locator-not-coded,measurement,high,M074,PPS-GF,G074-01,V001382,Tensile modulus,2.581 GPa; direction coded unknown,direction Z,S-PPSGF-TDS-0,p. 1: Young's Modulus Z,"locator ""p. 1: Young's Modulus Z"" names the Z direction"
A14-direction-in-locator-not-coded,measurement,high,M074,PPS-GF,G074-01,V001384,Elongation at break,0.7 %; direction coded unknown,direction Z,S-PPSGF-TDS-0,p. 1: Breaking Elongation Rate Z,"locator ""p. 1: Breaking Elongation Rate Z"" names the Z direction"
A14-direction-in-locator-not-coded,measurement,high,M074,PPS-GF,G074-01,V001386,Flexural strength,58 MPa; direction coded unknown,direction Z,S-PPSGF-TDS-0,p. 1: Flexural Strength Z,"locator ""p. 1: Flexural Strength Z"" names the Z direction"
A14-direction-in-locator-not-coded,measurement,high,M074,PPS-GF,G074-01,V001388,Flexural modulus,2.212 GPa; direction coded unknown,direction Z,S-PPSGF-TDS-0,p. 1: Flexural Modulus Z,"locator ""p. 1: Flexural Modulus Z"" names the Z direction"
A14-direction-in-locator-not-coded,measurement,high,M074,PPS-GF,G074-01,V001390,Charpy strength,10.6 kJ/m²; direction coded unknown,direction Z,S-PPSGF-TDS-0,p. 1: Impact Strength Z,"locator ""p. 1: Impact Strength Z"" names the Z direction"
A14b-xz-label-ambiguous,measurement,medium,M025,PETG-GF,G025-02,V001973,Tensile strength (endpoint unspecified),25.1 MPa; direction coded unknown,"resolve X-Z (on-edge, in-plane) vs upright against the sheet figure; compare with the XY value",R-ERYONE-PETG-GF-TDS,Part III: Tensile strength X-Z,"locator ""Part III: Tensile strength X-Z"""
A14b-xz-label-ambiguous,measurement,medium,M025,PETG-GF,G025-02,V001974,Tensile modulus,2.1097 GPa; direction coded unknown,"resolve X-Z (on-edge, in-plane) vs upright against the sheet figure; compare with the XY value",R-ERYONE-PETG-GF-TDS,Part III: Elastic modulus X-Z,"locator ""Part III: Elastic modulus X-Z"""
A14b-xz-label-ambiguous,measurement,medium,M025,PETG-GF,G025-02,V001975,Elongation at break,1.7 %; direction coded unknown,"resolve X-Z (on-edge, in-plane) vs upright against the sheet figure; compare with the XY value",R-ERYONE-PETG-GF-TDS,Part III: Elongation at break X-Z,"locator ""Part III: Elongation at break X-Z"""
A14b-xz-label-ambiguous,measurement,medium,M034,ASA-GF,G034-04,V002205,Flexural strength,27.2 MPa; direction coded unknown,"resolve X-Z (on-edge, in-plane) vs upright against the sheet figure; compare with the XY value",R-FLASHFORGE-ASA-GF10-TDS,Mechanical Properties: Bending Modulus (X-Z) [sheet label; the value is the strength],"locator ""Mechanical Properties: Bending Modulus (X-Z) [sheet label; the value is the strength]"""
A14b-xz-label-ambiguous,measurement,medium,M034,ASA-GF,G034-04,V002206,Flexural modulus,1.359 GPa; direction coded unknown,"resolve X-Z (on-edge, in-plane) vs upright against the sheet figure; compare with the XY value",R-FLASHFORGE-ASA-GF10-TDS,Mechanical Properties: Bending Strength (X-Z) [sheet label; the value is the modulus],"locator ""Mechanical Properties: Bending Strength (X-Z) [sheet label; the value is the modulus]"""
A14b-xz-label-ambiguous,measurement,medium,M034,ASA-GF,G034-04,V002208,Izod strength,2.5 kJ/m²; direction coded unknown,"resolve X-Z (on-edge, in-plane) vs upright against the sheet figure; compare with the XY value",R-FLASHFORGE-ASA-GF10-TDS,Mechanical Properties: Izod Impact Strength (X-Z),"locator ""Mechanical Properties: Izod Impact Strength (X-Z)"""
A15-annealed-in-locator-not-coded,measurement,medium,M059,PA612-CF,G059-01,V001054,HDT,175 °C,Post-processing names the annealing,S-FIBER-PA612,p. 1: Heat deflection temp.,locator/notes mention annealing: p. 1: Heat deflection temp.
A2-hdt045-below-hdt18,measurement,high,M035,PC,G035-01,V000683;V000682,HDT,112 @0.45 / 117 @1.8,HDT@0.45 >= HDT@1.8,B-PC-TDS,p. 2: Heat Deflection Temperature | p. 2: Heat Deflection Temperature,a lighter load cannot deflect at a lower temperature on the same specimen
A3-pla-hdt-above-tg-not-annealed,measurement,medium,M001,PLA,G001-01,V000008,HDT,80 °C,<= 70 °C unless annealed/crystallised,X-ECOMAX-PLA-TDS-v3,p. 1: Deflection Temperature at 0.45,PLA prints amorphous; an HDT this high needs annealing or a nucleated/HT grade — post-processing not recorded
A3b-hdt-on-soft-matrix,measurement,high,M039,TPU,G039-02,V000765,HDT,74 °C @0.45,room-temperature modulus >= 225 MPa for any HDT above ambient,I-TPU-TDS,p. 1: Heat Deflection (HDT),grade's largest in-plane modulus 26 MPa: the bar would exceed the ISO 75/ASTM D648 deflection (0.2 % strain) at room temperature
A3b-hdt-on-soft-matrix,measurement,high,M039,TPU,G039-02,V000766,HDT,49 °C @1.8,room-temperature modulus >= 900 MPa for any HDT above ambient,I-TPU-TDS,p. 1: Heat Deflection (HDT),grade's largest in-plane modulus 26 MPa: the bar would exceed the ISO 75/ASTM D648 deflection (0.2 % strain) at room temperature
A6-z-above-xy,measurement,medium,M093,PVB,G093-01,V001716;V001715,Charpy strength,Z 10 > XY 7 kJ/m²,Z <= XY,S-PVB-PVB-Prusament-TDS-2021-10-EN,p. 2: Charpy strength notched | p. 2: Charpy strength notched,interlayer bonds make Z the weak direction; the direction labels may be swapped (flat vs upright vs on-edge naming)
A6-z-above-xy,measurement,low,M051,PA6-GF,G051-03,V001192;V001191,Tensile modulus,Z 2.593 > XY 2.053 GPa,Z <= XY (stiffness within 15%),S-POLYCN-PolyMide-PA6-GF-TDS-V5-1,p. 4: Young’s modulus (Z) | p. 4: Young’s modulus (X-Y),interlayer bonds make Z the weak direction; the direction labels may be swapped (flat vs upright vs on-edge naming)
A6-z-above-xy,measurement,low,M052,PA12,G052-R1,V002011;V002010,Tensile break strength,Z 41.2 > XY 33.4 MPa,Z <= XY,R-STRATASYS-FDM-NYLON12-MDS,"Table 4: Strength @ Break, ZX orientation | Table 4: Strength @ Break, XZ orientation",interlayer bonds make Z the weak direction; the direction labels may be swapped (flat vs upright vs on-edge naming)
